Men,Release year
Beauty and the Beast,2017
The Princess and the Frog,2009
Beauty and the Beast,1991
Beauty and the Beast: The Enchanted Christmas,1997
The Northman,2022
"Red, White & Royal Blue",2023
Lawrence of Arabia,1962
Enchanted,2007
Robin Hood,1973
The Little Prince,2015
Barbie in the Nutcracker,2001
The Prince & Me 2: The Royal Wedding,2006
Belle's Magical World,1998
Tom and Jerry: A Nutcracker Tale,2007
A Princess for Christmas,2011
The Little Prince,1974
Godzilla,2014
Aquaman and the Lost Kingdom,2023
Elemental,2023
Interstellar,2014
Spider-Man: Into the Spider-Verse,2018
Kung Fu Panda 3,2016
Charlie and the Chocolate Factory,2005
The Judge,2014
Shang-Chi and the Legend of the Ten Rings,2021
Logan,2017
The Little Mermaid,2023
Forrest Gump,1994
Real Steel,2011
Abigail,2024
Ratatouille,2007
The Godfather,1972
Black Widow,2021
Gran Turismo,2023
Mulan,1998
The Lion King,1994
The Iron Claw,2023
Hotel Transylvania: Transformania,2022
Despicable Me 2,2013
The Godfather Part III,1990
The Wolf of Wall Street,2013
Hercules,1997
Finding Nemo,2003
The Lion King,2019
Ant-Man and the Wasp: Quantumania,2023
Back to the Future,1985
The Godfather Part II,1974
The Little Mermaid,1989
Catch Me If You Can,2002
The Lion King II: Simba's Pride,1998
Hotel Transylvania 3: Summer Vacation,2018
Hellraiser,1987
Rocky V,1990
Taken,2008
The Boss Baby: Family Business,2021
Guardians of the Galaxy Vol. 2,2017
The Garfield Movie,2024
The Curious Case of Benjamin Button,2008
How to Train Your Dragon,2010
The Whale,2022
The Simpsons Movie,2007
The Parent Trap,1998
Hypnotic,2023
Journey 2: The Mysterious Island,2012
Call Me by Your Name,2017
Indiana Jones and the Last Crusade,1989
A Good Day to Die Hard,2013
Beast,2022
The Fabelmans,2022
65,2023
Hotel Transylvania,2012
Meet the Robinsons,2007
About Time,2013
White Boy Rick,2018
The Lego Batman Movie,2017
Space Jam: A New Legacy,2021
A Bronx Tale,1993
Kick-Ass,2010
10 Things I Hate About You,1999
Hotel Transylvania 2,2015
Chicken Little,2005
The Shining,1980
