Mental-Disability,Release year
Bird Box,2018
Joker,2019
Inception,2010
Captain Marvel,2019
Mean Girls,2024
Logan,2017
Creed III,2023
Forrest Gump,1994
Titanic,1997
Fall,2022
The Emperor's New Groove,2000
Rise of the Planet of the Apes,2011
RoboCop,1987
Fight Club,1999
Donnie Darko,2001
Joker: Folie à Deux,2024
The Wolf of Wall Street,2013
Halloween,2018
Batman Begins,2005
Bumblebee,2018
Iron Man 3,2013
Shutter Island,2010
The Mummy,2017
The Lion King II: Simba's Pride,1998
It Chapter Two,2019
The Notebook,2004
Halloween,1978
American Sniper,2014
Get Out,2017
Psycho,1960
Spider-Man 3,2007
Good Will Hunting,1997
Terminator 2: Judgment Day,1991
Dark City,1998
The Lobster,2015
The Predator,2018
Furious 7,2015
Knox Goes Away,2024
Hereditary,2018
Alita: Battle Angel,2019
American Psycho,2000
A Beautiful Mind,2001
Glass,2019
First Blood,1982
Kingsman: The Golden Circle,2017
Constantine,2005
Midsommar,2019
Angel Heart,1987
The Menu,2022
Smile,2022
A Haunting in Venice,2023
The Incredible Hulk,2008
Rambo: Last Blood,2019
Sleeping Dogs,2024
The Fallout,2021
Collateral Beauty,2016
Renfield,2023
The Sixth Sense,1999
Carrie,1976
Reservoir Dogs,1992
One Flew Over the Cuckoo's Nest,1975
Unbreakable,2000
Batman & Robin,1997
Beau Is Afraid,2023
Rise of the Guardians,2012
Batman Forever,1995
Memory,2022
Wrong Turn 4: Bloody Beginnings,2011
Mulholland Drive,2001
Angels & Demons,2009
Cult of Chucky,2017
Alice Through the Looking Glass,2016
Dog,2022
It's a Wonderful Life,1946
Dead Poets Society,1989
The Accountant,2016
Undisputed II: Last Man Standing,2006
Leave No Trace,2018
Melancholia,2011
Finding Dory,2016
Black Swan,2010
Aftersun,2022
RoboCop,2014
Captain Fantastic,2016
Sin City,2005
Lawrence of Arabia,1962
The Great Gatsby,2013
The Perks of Being a Wallflower,2012
Hulk,2003
Vertigo,1958
Saw III,2006
The Addams Family,1991
Power Rangers,2017
Van Helsing,2004
The Father,2020
Ghost in the Shell,2017
Halloween Ends,2022
Blacklight,2022
The Howling,1981
Anastasia,1997
Halloween Kills,2021
Basic Instinct,1992
I Spit on Your Grave III: Vengeance Is Mine,2015
A Man Called Otto,2022
Inferno,2016
Scream 3,2000
Overboard,2018
Freddy's Dead: The Final Nightmare,1991
Lethal Weapon,1987
Memento,2000
The Grudge,2019
Hellboy,2004
Sucker Punch,2011
Romeo + Juliet,1996
Magnolia,1999
Hancock,2008
Pandorum,2009
The Other Zoey,2023
Annabelle,2014
What Lies Beneath,2000
"The Boy, the Mole, the Fox and the Horse",2022
Idiocracy,2006
Mystic River,2003
Full Metal Jacket,1987
The Bourne Identity,2002
Friday the 13th Part III,1982
Fantastic Mr. Fox,2009
Heathers,1989
Thelma & Louise,1991
What's Eating Gilbert Grape,1993
Carrie,2013
Self/less,2015
The Texas Chain Saw Massacre,1974
Child's Play,1988
Radio,2003
The Cat in the Hat,2003
Captain America: The Winter Soldier,2014
Don't Worry Darling,2022
Abigail,2019
Rain Man,1988
Million Dollar Baby,2004
Airplane!,1980
Bloodshot,2020
Hook,1991
Solaris,2002
Blonde,2022
Boogie Nights,1997
"Me, Myself & Irene",2000
The Happening,2008
An Officer and a Gentleman,1982
The Taking of Deborah Logan,2014
Sweet Girl,2021
Death Becomes Her,1992
Awakenings,1990
Dreamcatcher,2003
Annie Hall,1977
Jiu Jitsu,2020
Nefarious,2023
Nutty Professor II: The Klumps,2000
Anger Management,2003
Revolutionary Road,2008
Manchester by the Sea,2016
Unknown,2011
The League of Extraordinary Gentlemen,2003
Still Alice,2014
Overboard,1987
Stonehearst Asylum,2014
Bad Teacher,2011
The Aviator,2004
All the Beauty and the Bloodshed,2022
Halloween,2007
Cherry,2021
Monster High: The Movie,2022
Room,2015
The Virgin Suicides,2000
Dr. Jekyll and Ms. Hyde,1995
Mr. Monk's Last Case: A Monk Movie,2023
Bitter Moon,1992
Secretary,2002
The Vow,2012
Primal Fear,1996
Silver Linings Playbook,2012
"Girl, Interrupted",1999
The Others,2001
Three Christs,2017
Crash,1996
Young Adult,2011
Leaving Las Vegas,1995
Vanilla Sky,2001
Dressed to Kill,1980
What Dreams May Come,1998
Southland Tales,2007
Leatherface,2017
Push,2009
The Night Clerk,2020
The Long Kiss Goodnight,1996
Color of Night,1994
Universal Soldier: Regeneration,2009
Identity,2003
Changeling,2008
Before I Go to Sleep,2014
Grave Encounters 2,2012
Cha Cha Real Smooth,2022
Blue Jasmine,2013
The Life of David Gale,2003
The Hurt Locker,2008
The Return of the Texas Chainsaw Massacre,1995
As Good as It Gets,1997
Regarding Henry,1991
Basic Instinct 2,2006
The Nutty Professor,1996
The King of Comedy,1982
City Lights,1931
Good Burger,1997
V/H/S,2012
Criminal,2016
Hard Candy,2005
Concussion,2015
Shaun the Sheep Movie,2015
Beastly,2011
The Last Boy Scout,1991
Hellbound: Hellraiser II,1988
Batman: Under the Red Hood,2010
Psycho II,1983
The Electrical Life of Louis Wain,2021
The Lucky One,2012
The Royal Tenenbaums,2001
Runaway Jury,2003
Secret Obsession,2019
Mirrors,2008
Zoolander,2001
Accepted,2006
Causeway,2022
The Pagemaster,1994
Champions,2023
Analyze That,2002
Cake,2014
Martha Marcy May Marlene,2011
Thirteen,2003
Dear John,2010
K-PAX,2001
Halloween H20: 20 Years Later,1998
Cocktail,1988
The Last Unicorn,1982
21 Grams,2003
In Bruges,2008
Black Mirror: Bandersnatch,2018
Hide and Seek,2005
Unsane,2018
Exposed,2016
The Seventh Sign,1988
Gothika,2003
Billy Lynn's Long Halftime Walk,2016
After Hours,1985
Dear Evan Hansen,2021
The Amityville Horror,1979
Out of the Furnace,2013
Little Miss Sunshine,2006
Cruel Intentions 3,2004
The Crucible,1996
Shutter,2008
Cruel Intentions 2,2000
The Jacket,2005
Winged Creatures,2009
Born on the Fourth of July,1989
First Reformed,2018
Stronger,2017
Sleeping with the Enemy,1991
The Midnight Sky,2020
Secret Window,2004
The Forest,2016
The Bye Bye Man,2017
Christine,2016
Backtrace,2018
The Number 23,2007
Return to Oz,1985
Ghosts of Mars,2001
The Fall,2006
Thinner,1996
The Good Doctor,2011
Fatal Attraction,1987
Tully,2018
Side Effects,2013
Hitchcock,2012
The King of Staten Island,2020
In the Mouth of Madness,1995
Analyze This,1999
The Wrestler,2008
Goodnight Mommy,2022
Come Play,2020
Welcome to Marwen,2018
Mercury Rising,1998
Universal Soldier: Day of Reckoning,2012
The Machinist,2004
Addams Family Reunion,1998
The Voices,2014
The Woman in Black,2012
Empire of Light,2022
American Ninja,1985
Joe Bell,2020
Where Hope Grows,2014
Batman: Assault on Arkham,2014
The Peanut Butter Falcon,2019
Bad Santa,2003
The Manchurian Candidate,1962
Halloween III: Season of the Witch,1982
Planet Hulk,2010
Saving Mr. Banks,2013
A Single Man,2009
Words on Bathroom Walls,2020
Don Juan DeMarco,1994
Stoker,2013
Sid and Nancy,1986
Mimic,1997
Requiem for a Dream,2000
Thank You for Your Service,2017
The Bling Ring,2013
Don't Say a Word,2001
Killerman,2019
Silent Night,2021
Fathers and Daughters,2015
Falling for Christmas,2022
Quills,2000
The Brave One,2007
Spencer,2021
Van Helsing: The London Assignment,2004
Jumanji,1995
The Perfect Guy,2015
The Silence of the Lambs,1991
Speak,2004
Unfriended,2014
The Fisher King,1991
Paycheck,2003
Conspiracy Theory,1997
The Lodge,2020
Brain on Fire,2017
Benny & Joon,1993
Madhouse,2004
Mudbound,2017
The Son,2022
Final Analysis,1992
The Prince of Tides,1991
Encounter,2021
She Said,2022
Harold and Maude,1971
Straw Dogs,2011
Three Identical Strangers,2018
About a Boy,2002
Morgan,2016
Psycho,1998
Burning Bright,2010
Psycho IV: The Beginning,1990
Shine,1996
The Hours,2002
Lost and Delirious,2001
The Cured,2017
Persuasion,1995
Precious,2009
