Straight,Release year
Elemental,2023
Trolls Band Together,2023
Música,2024
She Came to Me,2023
Upgraded,2024
Irish Wish,2024
Ghosted,2023
Under the Boardwalk,2023
The Valet,2022
La La Land,2016
Grease,1978
Blended,2014
Paper Towns,2015
The Idea of You,2024
The Parent Trap,1998
American Wedding,2003
Just Go with It,2011
Legally Blonde,2001
Players,2024
Beautiful Disaster,2023
The Aristocats,1970
About Time,2013
The Proposal,2009
Coming to America,1988
"Red, White & Royal Blue",2023
10 Things I Hate About You,1999
The Lost City,2022
Cinderella,2021
Trolls,2016
Along Came Polly,2004
Long Shot,2019
Shotgun Wedding,2022
Love Actually,2003
The Girl Next Door,2004
Pretty Woman,1990
Love & Other Drugs,2010
The Other Woman,2014
To All the Boys I've Loved Before,2018
Asteroid City,2023
Yes Man,2008
The Princess Diaries,2001
Buffalo '66,1998
No Strings Attached,2011
Palm Springs,2020
Enchanted,2007
Mr. & Mrs. Smith,2005
"New York, I Love You",2008
Love at First Sight,2023
Deuce Bigalow: Male Gigolo,1999
Zack and Miri Make a Porno,2008
Freaky Friday,2003
Sex and the City,2008
Lost in Translation,2003
Bridget Jones's Diary,2001
Disenchanted,2022
Beautiful Wedding,2024
Overboard,2018
17 Again,2009
Sleepless in Seattle,1993
What Women Want,2000
Flipped,2010
The Other Zoey,2023
Coming 2 America,2021
13 Going on 30,2004
Friends with Benefits,2011
Don Jon,2013
Mamma Mia!,2008
The Princess Diaries 2: Royal Engagement,2004
Pride and Prejudice and Zombies,2016
Which Brings Me to You,2023
The Wedding Ringer,2015
Crazy Rich Asians,2018
Yesterday,2019
Big,1988
Leap Year,2010
Shallow Hal,2001
Easy A,2010
You've Got Mail,1998
A Cinderella Story,2004
There's Something About Mary,1998
"Legally Blonde 2: Red, White & Blonde",2003
The Family Man,2000
Manhattan,1979
"Me, Myself & Irene",2000
He's Just Not That Into You,2009
Hitch,2005
Bedazzled,2000
A Million Ways to Die in the West,2014
Midnight in Paris,2011
Wedding Crashers,2005
Bridesmaids,2011
Sex Drive,2008
Annie Hall,1977
Wild Child,2008
Lady and the Tramp II: Scamp's Adventure,2001
Nutty Professor II: The Klumps,2000
Warm Bodies,2013
Singin' in the Rain,1952
The Ugly Truth,2009
Confessions of a Shopaholic,2009
The Hating Game,2021
The Kissing Booth 2,2020
"Mickey, Donald, Goofy: The Three Musketeers",2004
"Angus, Thongs and Perfect Snogging",2008
Overboard,1987
Crocodile Dundee,1986
Romancing the Stone,1984
The Tourist,2010
Mannequin,1987
Punch-Drunk Love,2002
Aloha,2015
The Graduate,1967
Good Luck Chuck,2007
How to Lose a Guy in 10 Days,2003
Moonrise Kingdom,2012
Popeye,1980
When Harry Met Sally...,1989
Serendipity,2001
Sky High,2005
The House Bunny,2008
Fifty Shades of Black,2016
Inherent Vice,2014
It's Complicated,2009
Secretary,2002
The Holiday,2006
Silver Linings Playbook,2012
Coyote Ugly,2000
To All the Boys: Always and Forever,2021
Another Cinderella Story,2008
Little Nicky,2000
Last Christmas,2019
How to Be Single,2016
Trainwreck,2015
The Flintstones in Viva Rock Vegas,2000
Prom Pact,2023
High School Musical,2006
Bridget Jones's Baby,2016
The Hunchback of Notre Dame II,2002
About Fate,2022
Jerry Maguire,1996
Jexi,2019
Gnomeo & Juliet,2011
Sixteen Candles,1984
Cutthroat Island,1995
Runaway Bride,1999
How to Be a Latin Lover,2017
Modern Times,1936
Ticket to Paradise,2022
To All the Boys: P.S. I Still Love You,2020
Mamma Mia! Here We Go Again,2018
Moonstruck,1987
Ella Enchanted,2004
Monster-in-Law,2005
Knocked Up,2007
Good Grief,2023
"Definitely, Maybe",2008
Career Opportunities,1991
Couples Retreat,2009
Cha Cha Real Smooth,2022
Aquamarine,2006
What Happens in Vegas,2008
Mike and Dave Need Wedding Dates,2016
Mirror Mirror,2012
What a Girl Wants,2003
No Reservations,2007
P.S. I Love You,2007
Look Who's Talking,1989
The Rebound,2009
Just Friends,2005
Forgetting Sarah Marshall,2008
She's Out of My League,2010
The Art of Getting By,2011
The Nutty Professor,1996
Look Who's Talking Too,1990
Playing It Cool,2014
Bride Wars,2009
City Lights,1931
Splash,1984
Maid in Manhattan,2002
Picture Perfect,1997
Love Again,2023
Practical Magic,1998
New Year's Eve,2011
The Swan Princess,1994
Can't Buy Me Love,1987
The Whole Nine Yards,2000
Wedding Daze,2006
Killers,2010
Look Both Ways,2022
Sideways,2004
Blast from the Past,1999
27 Dresses,2008
The Love Bug,1968
Housesitter,1992
The Princess Switch: Switched Again,2020
It Takes Two,1995
Mr. Deeds,2002
My Fair Lady,1964
Arthur,1981
It Could Happen to You,1994
Sweet Home Alabama,2002
What to Expect When You're Expecting,2012
My Super Ex-Girlfriend,2006
Grease 2,1982
This Means War,2012
Home Again,2017
Spanglish,2004
Streets of Fire,1984
Date Night,2010
Roxanne,1987
She's All That,1999
Two Weeks Notice,2002
Little,2019
Sherlock Gnomes,2018
Cocktail,1988
The Wrong Missy,2020
Everyone Says I Love You,1996
Hairspray,2007
Second Act,2018
Paul Blart: Mall Cop,2009
The Diary of a Teenage Girl,2015
Sabrina,1995
Working Girl,1988
Girls Just Want to Have Fun,1985
Never Been Kissed,1999
Chasing Liberty,2004
Mystic Pizza,1988
The Woman in Red,1984
Zookeeper,2011
A Guy Thing,2003
Tall Girl,2019
Bird on a Wire,1990
Valley Girl,1983
Valentine's Day,2010
Bringing Down the House,2003
The Perfect Date,2019
What's Your Number?,2011
Date Movie,2006
The Prince & Me 2: The Royal Wedding,2006
Monte Carlo,2011
The Wedding Singer,1998
Why Him?,2016
The Heartbreak Kid,2007
Drumline,2002
Hall Pass,2011
Marry Me,2022
Just My Luck,2006
Letters to Juliet,2010
The Parent Trap,1961
The Broken Hearts Gallery,2020
The Princess Switch,2018
While You Were Sleeping,1995
Sharpay's Fabulous Adventure,2011
Status Update,2018
Only You,1994
Failure to Launch,2006
The Cutting Edge,1992
A Good Year,2006
Just Married,2003
Bachelorette,2012
Isn't It Romantic,2019
Under the Tuscan Sun,2003
Scrooged,1988
George of the Jungle,1997
The Lizzie McGuire Movie,2003
The Nanny Diaries,2007
Cry-Baby,1990
The Map of Tiny Perfect Things,2021
Curly Sue,1991
Swept Away,2002
A Tourist's Guide to Love,2023
Your Place or Mine,2023
Morning Glory,2010
The Five-Year Engagement,2012
Swingers,1996
Heartbreakers,2001
Then Came You,2018
The Sisterhood of the Traveling Pants,2005
The Break-Up,2006
Much Ado About Nothing,1993
The Bounty Hunter,2010
Something Borrowed,2011
Robots,2023
My Big Fat Greek Wedding,2002
Made of Honor,2008
That Thing You Do!,1996
In Her Shoes,2005
Sydney White,2007
Stuck in Love,2013
Life or Something Like It,2002
Ghosts of Girlfriends Past,2009
Grumpy Old Men,1993
Little Italy,2018
Scoop,2006
Sliding Doors,1998
The Invention of Lying,2009
Geek Charming,2011
"You, Me and Dupree",2006
First Daughter,2004
Take Me Home Tonight,2011
Superintelligence,2020
Empire Records,1995
Blind Date,1987
Mother's Day,2016
Sleeping with Other People,2015
The Switch,2010
Married to the Mob,1988
I Could Never Be Your Woman,2007
Ruby Sparks,2012
Fools Rush In,1997
"Love, Guaranteed",2020
Something's Gotta Give,2003
The Cameraman,1928
Terms of Endearment,1983
A Midsummer Night's Dream,1999
French Kiss,1995
Four Christmases,2008
Raising Helen,2004
Bewitched,2005
Alpha and Omega,2010
"Juliet, Naked",2018
The Big Sick,2017
Ice Princess,2005
The Perfect Find,2023
The Wedding Planner,2001
Little Manhattan,2005
The Jewel of the Nile,1985
Don Juan DeMarco,1994
The Santa Clause 2,2002
Destination Wedding,2018
The Last Summer,2019
America's Sweethearts,2001
The American President,1995
The Wedding Date,2005
Kate & Leopold,2001
The To Do List,2013
To Rome with Love,2012
That Awkward Moment,2014
100 Girls,2000
Fever Pitch,2005
Somebody I Used to Know,2023
Intolerable Cruelty,2003
Moonshot,2022
40 Days and 40 Nights,2002
Falling for Christmas,2022
Casanova,2005
Maybe I Do,2023
Employee of the Month,2006
The Sisterhood of the Traveling Pants 2,2008
Innocent Blood,1992
Falling Inn Love,2019
Wild Mountain Thyme,2020
Fun and Fancy Free,1947
Paperman,2012
Barefoot,2014
Benny & Joon,1993
Michael,1996
Win a Date with Tad Hamilton!,2004
Prime,2005
You May Not Kiss the Bride,2011
Set It Up,2018
All of Me,1984
About Last Night,2014
Bull Durham,1988
Nobody's Fool,2018
Let It Snow,2019
Waitress,2007
High Fidelity,2000
Jersey Girl,2004
LOL,2012
The Purple Rose of Cairo,1985
Harold and Maude,1971
Electric Dreams,1984
My Life in Ruins,2009
L.A. Story,1991
About a Boy,2002
The Fabulous Baker Boys,1989
Nine Months,1995
Wimbledon,2004
Agent Cody Banks,2003
Stuck on You,2003
View from the Top,2003
Hedwig and the Angry Inch,2001
The Accidental Husband,2008
Blame It on Rio,1984
Some Kind of Beautiful,2015
Peggy Sue Got Married,1986
Baby Boom,1987
The Princess Switch 3: Romancing the Star,2021
Singles,1992
Did You Hear About the Morgans?,2009
Waiting to Exhale,1995
Boat Trip,2002
Two Night Stand,2014
Landscape with Invisible Hand,2023
A Perfect Pairing,2022
Shopgirl,2005
Just Wright,2010
Duplicity,2009
The Perfect Man,2005
Bandits,2001
Love Wrecked,2005
Think Like a Man Too,2014
Grosse Pointe Blank,1997
