LGBT,Release year
Dune: Part Two,2024
Elemental,2023
The Matrix,1999
Drive-Away Dolls,2024
Miller's Girl,2024
Monkey Man,2024
Mean Girls,2024
Babylon,2022
Con Air,1997
Green Book,2018
Mulan,1998
White Chicks,2004
Everything Everywhere All at Once,2022
Shazam! Fury of the Gods,2023
It Chapter Two,2019
Eternals,2021
Psycho,1960
Strictly Confidential,2024
Allied,2016
Lady Bird,2017
The Imitation Game,2014
Nimona,2023
Bohemian Rhapsody,2018
Cruella,2021
American Fiction,2023
Next Goal Wins,2023
The Matrix Resurrections,2021
Mulan,2020
Challengers,2024
Saltburn,2023
Jumanji: Welcome to the Jungle,2017
The Whale,2022
Scream,2022
Wrong Turn,2021
Call Me by Your Name,2017
The Hangover Part II,2011
Maestro,2023
Knock at the Cabin,2023
All of Us Strangers,2023
Independence Day: Resurgence,2016
The Grand Budapest Hotel,2014
Get Real,1998
"Red, White & Royal Blue",2023
The Fallout,2021
Sausage Party,2016
Bound,1996
Cinderella,2021
The New Mutants,2020
Blockers,2018
Booksmart,2019
Interview with the Vampire,1994
V for Vendetta,2006
Spartacus,1960
The Shape of Water,2017
Forbidden Zone,1980
Jungle Cruise,2021
Diamonds Are Forever,1971
Wrong Turn 4: Bloody Beginnings,2011
Mulholland Drive,2001
Cloud Atlas,2012
Clueless,1995
Wrong Turn 2: Dead End,2007
Storks,2016
Rocketman,2019
Bottoms,2023
Strange World,2022
Norbit,2007
Black Swan,2010
Showgirls,1995
Aftersun,2022
Predestination,2014
American Beauty,1999
Aristotle and Dante Discover the Secrets of the Universe,2023
The Color Purple,2023
Sin City,2005
The Perks of Being a Wallflower,2012
Seed of Chucky,2004
The Mitchells vs. the Machines,2021
Jennifer's Body,2009
The Talented Mr. Ripley,1999
Lightyear,2022
Mrs. Doubtfire,1993
The Ledge,2022
What Men Want,2019
Halloween Kills,2021
Basic Instinct,1992
Atomic Blonde,2017
Rough Night,2017
A Man Called Otto,2022
Stillwater,2021
"Love, Simon",2018
Scott Pilgrim vs. the World,2010
The Dreamers,2003
Imagine Me & You,2006
Suspiria,2018
Sex and the City 2,2010
Brokeback Mountain,2005
The Mortal Instruments: City of Bones,2013
The World's Fastest Indian,2005
RocknRolla,2008
The Texas Chain Saw Massacre,1974
Robin Hood,1973
Riddick,2013
Suicide Squad: Hell to Pay,2018
Cruel Intentions,1999
The Girl in the Spider's Web,2018
She's the Man,2006
Manhattan,1979
Red Sonja,1985
Curse of Chucky,2013
Legend,2015
Sex Drive,2008
The Old Guard,2020
Elephant,2003
Rustin,2023
Do Revenge,2022
Monster,2003
Harold & Kumar Escape from Guantanamo Bay,2008
I Care a Lot,2021
The Lighthouse,2019
Bodies Bodies Bodies,2022
Jack and Jill,2011
"Big Mommas: Like Father, Like Son",2011
Alexander,2004
The Favourite,2018
Scooby-Doo 2: Monsters Unleashed,2004
Big Momma's House 2,2006
Downton Abbey,2019
Mannequin,1987
All the Beauty and the Bloodshed,2022
Wild Things,1998
Monster High: The Movie,2022
Philadelphia,1993
Cruising,1980
The Craft: Legacy,2020
Tootsie,1982
Big Daddy,1999
Dr. Jekyll and Ms. Hyde,1995
Justice League Dark: Apokolips War,2020
Planet Terror,2007
Bitter Moon,1992
Professor Marston and the Wonder Women,2017
Big Momma's House,2000
Last Christmas,2019
"Girl, Interrupted",1999
American Hustle,2013
Crash,1996
I Now Pronounce You Chuck & Larry,2007
Four Weddings and a Funeral,1994
A Dirty Shame,2004
Downton Abbey: A New Era,2022
A Dog's Way Home,2019
Splice,2010
Joy Ride,2023
Dressed to Kill,1980
"To Wong Foo, Thanks for Everything! Julie Newmar",1995
The Heat,2013
Color of Night,1994
Rope,1948
The Animatrix,2003
Burlesque,2010
Demolition,2015
Kajillionaire,2020
The Hunger,1983
Good Grief,2023
Bridget Jones: The Edge of Reason,2004
Vicky Cristina Barcelona,2008
Werewolves Within,2021
Midnight Cowboy,1969
The Kings of Summer,2013
Dog Day Afternoon,1975
The Return of the Texas Chainsaw Massacre,1995
As Good as It Gets,1997
The Jackal,1997
House at the End of the Street,2012
The Boondock Saints,1999
Frida,2002
Rebel Without a Cause,1955
Miller's Crossing,1990
Mute,2018
Poison Ivy,1992
V/H/S,2012
Sheroes,2023
Wild Wild West,1999
Fried Green Tomatoes,1991
Talladega Nights: The Ballad of Ricky Bobby,2006
The Stepford Wives,2004
Trick or Treat Scooby-Doo!,2022
West Side Story,2021
Urban Legends: Final Cut,2000
The Color Purple,1985
Bananas,1971
Causeway,2022
Carol,2015
Uncle Frank,2020
Vice,2018
Sweet Home Alabama,2002
Mannequin Two: On the Move,1991
Dallas Buyers Club,2013
My Big Fat Greek Wedding 3,2023
Thirteen,2003
Shame,2011
Death Sentence,2007
Cursed,2005
Midnight Express,1978
Boy Erased,2018
The World to Come,2021
The First Wives Club,1996
Ed Wood,1994
Love the Coopers,2015
Happiest Season,2020
Friday After Next,2002
Unsane,2018
Burnt,2015
Gia,1998
Neighbors 2: Sorority Rising,2016
Embrace of the Vampire,1995
Valentine's Day,2010
The Birdcage,1996
Bombshell,2019
Sexy Beast,2001
Heavenly Creatures,1994
Little Miss Sunshine,2006
Being John Malkovich,1999
The Runaways,2010
Sleeping with the Enemy,1991
Be Cool,2005
Whitney Houston: I Wanna Dance with Somebody,2022
Henry & June,1990
Eileen,2023
Smokin' Aces,2006
Surrounded,2023
Death at a Funeral,2010
Isn't It Romantic,2019
Bully,2001
The Mexican,2001
Under the Tuscan Sun,2003
Notes on a Scandal,2006
Sleepaway Camp,1983
Cabaret,1972
The Danish Girl,2015
Lesbian Vampire Killers,2009
The Black Dahlia,2006
Wild Things 2,2004
Bitch Slap,2009
Side Effects,2013
The Haunting,1963
Welcome to Marwen,2018
Future World,2018
The Crying Game,1992
Rock of Ages,2012
I Love You Phillip Morris,2010
Alex Strangelove,2018
My Own Private Idaho,1991
Babe: Pig in the City,1998
No Way Out,1987
Joe Bell,2020
Batman: Bad Blood,2016
Mother's Day,2016
Prêt-à-Porter,1994
Nightbreed,1990
You People,2023
Gigli,2003
Euphoria,2018
Kill Your Darlings,2013
The Disappearance of Alice Creed,2009
Go,1999
A Single Man,2009
Seeking a Friend for the End of the World,2012
The Opposite of Sex,1998
Pink Flamingos,1972
Shakespeare in Love,1998
Velvet Goldmine,1998
Chasing Amy,1997
The Rocky Horror Picture Show,1975
Freeway,1996
The Merchant of Venice,2004
The Lion in Winter,1968
My Big Fat Greek Wedding 2,2016
Single White Female,1992
Scenes of a Sexual Nature,2006
The Happytime Murders,2018
The Paperboy,2012
Dorian Gray,2009
Midnight in the Garden of Good and Evil,1997
Quills,2000
Nighthawks,1981
Deck the Halls,2006
The Silence of the Lambs,1991
Freeheld,2015
Cassandro,2023
"The Adventures of Priscilla, Queen of the Desert",1994
The Half of It,2020
Boys Don't Cry,1999
Behind the Candelabra,2013
Novitiate,2017
Kinky Boots,2005
A Chorus Line,1985
The Roommate,2011
Club Dread,2004
Fright Night 2: New Blood,2013
The Rules of Attraction,2002
Milk,2008
Cracks,2009
Fame,1980
Women in Love,1969
Switch,1991
Let It Snow,2019
Reality Bites,1994
Battle of the Sexes,2017
White Bird in a Blizzard,2014
My Best Friend's Wedding,1997
Jackass Presents: Bad Grandpa,2013
Capote,2005
Wild Things: Diamonds in the Rough,2005
Horsemen,2009
Unfriend,2016
Leprechaun in the Hood,2000
Psycho,1998
Wendell & Wild,2022
Hedwig and the Angry Inch,2001
Boys on the Side,1995
The Family Stone,2005
The Hours,2002
Thunderbolt and Lightfoot,1974
But I'm a Cheerleader,2000
May,2003
Lost and Delirious,2001
Boat Trip,2002
The Naughty Nine,2023
Saint Maud,2020
88 Minutes,2007
BloodRayne: The Third Reich,2010
Kinsey,2004
The People vs. Larry Flynt,1996
Precious,2009
"South Park: Bigger, Longer & Uncut",1999
Poison,2023
