Lesbian,Release year
Drive-Away Dolls,2024
Miller's Girl,2024
Prey,2022
Mean Girls,2024
Babylon,2022
The Nun,2018
Silent Night,2023
Everything Everywhere All at Once,2022
Scream,1996
Heat,1995
Strictly Confidential,2024
Allied,2016
Ready Player One,2018
Scream,2022
The Fallout,2021
Sausage Party,2016
Bound,1996
From Russia with Love,1963
The New Mutants,2020
Death on the Nile,1978
Blockers,2018
Booksmart,2019
V for Vendetta,2006
Disobedience,2018
Mulholland Drive,2001
Death on the Nile,2022
Wrong Turn 2: Dead End,2007
Goldfinger,1964
Bottoms,2023
Black Swan,2010
Aftersun,2022
Nope,2022
The Color Purple,2023
Sin City,2005
Jennifer's Body,2009
Lightyear,2022
Power Rangers,2017
Basic Instinct,1992
Atomic Blonde,2017
Rough Night,2017
Stillwater,2021
Scott Pilgrim vs. the World,2010
Imagine Me & You,2006
Suspiria,2018
Double Impact,1991
Sex and the City 2,2010
Riddick,2013
Manhattan,1979
Red Sonja,1985
Miss Congeniality,2000
Curse of Chucky,2013
The Taking of Deborah Logan,2014
Vice,2015
Do Revenge,2022
Monster,2003
I Care a Lot,2021
Bodies Bodies Bodies,2022
The Favourite,2018
All the Beauty and the Bloodshed,2022
Touch of Evil,1958
Planet Terror,2007
Heatwave,2022
Last Christmas,2019
American Hustle,2013
Barbarella,1968
A Dirty Shame,2004
American Gigolo,1980
Color of Night,1994
Kajillionaire,2020
The Hunger,1983
Freud's Last Session,2023
This Is Where I Leave You,2014
Poison Ivy,1992
V/H/S,2012
Sheroes,2023
Concussion,2015
Fried Green Tomatoes,1991
Senior Year,2022
Urban Legends: Final Cut,2000
The Color Purple,1985
Causeway,2022
Carol,2015
Vice,2018
Thirteen,2003
The World to Come,2021
The First Wives Club,1996
Happiest Season,2020
Unsane,2018
Burnt,2015
Gia,1998
Valley Girl,1983
Bombshell,2019
Heavenly Creatures,1994
Being John Malkovich,1999
The Runaways,2010
Marry Me,2022
Whitney Houston: I Wanna Dance with Somebody,2022
Henry & June,1990
Eileen,2023
The Party,1968
Smokin' Aces,2006
The Professor,2018
Under the Tuscan Sun,2003
Notes on a Scandal,2006
Lesbian Vampire Killers,2009
The Black Dahlia,2006
Bitch Slap,2009
Side Effects,2013
The Haunting,1963
The Deep End of the Ocean,1999
Future World,2018
Prey,2007
Mother's Day,2016
Prêt-à-Porter,1994
To Live and Die in L.A.,1985
You People,2023
Something's Gotta Give,2003
Gigli,2003
Pink Flamingos,1972
Chasing Amy,1997
Freeway,1996
Silent Night,2021
Freeheld,2015
The Half of It,2020
The Roommate,2011
Milk,2008
Cracks,2009
Switch,1991
Let It Snow,2019
Battle of the Sexes,2017
Boys on the Side,1995
Dangerous,2021
Tea with Mussolini,1999
The Hours,2002
But I'm a Cheerleader,2000
May,2003
Lost and Delirious,2001
Saint Maud,2020
88 Minutes,2007
The People vs. Larry Flynt,1996
Precious,2009
